Write Buffer Size,ops_per_sec,micros_per_op
58720256,28672,34.876
59768832,34766,28.763
60817408,34776,28.754
61865984,47140,21.213
62914560,41705,23.977
63963136,40681,24.58
65011712,25486,39.235
66060288,38392,26.046
67108864,34829,28.71
68157440,32671,30.607
69206016,52657,18.99
70254592,46874,21.332
71303168,47896,20.878
72351744,18539,53.939
73400320,11825,84.564
74448896,32104,31.147
75497472,23063,43.359
76546048,47015,21.268
77594624,48627,20.564
78643200,38003,26.312
79691776,56018,17.851
80740352,38343,26.079
81788928,31263,31.985
82837504,18343,54.515
83886080,31468,31.777
84934656,38873,25.724
85983232,12038,83.07
87031808,21839,45.788
88080384,35178,28.425
89128960,49788,20.084
90177536,55792,17.923
91226112,21324,46.893
92274688,15003,66.649
93323264,55363,18.062
94371840,48081,20.797
95420416,40344,24.786
96468992,28963,34.525
97517568,24098,41.495
98566144,27925,35.807
99614720,32335,30.925
100663296,12846,77.839
101711872,28488,35.101
102760448,24539,40.751
103809024,35257,28.362
104857600,32974,30.326
105906176,33751,29.628
106954752,54702,18.28
108003328,37609,26.588
109051904,30862,32.401
110100480,34465,29.014
111149056,34758,28.769
112197632,13177,75.889
113246208,36333,27.522
114294784,15750,63.491
115343360,29591,33.791
116391936,26291,38.033
117440512,24169,41.374
118489088,31223,32.027
119537664,39737,25.165
120586240,26683,37.476
121634816,42122,23.74
122683392,27850,35.905
123731968,48983,20.414
124780544,52182,19.163
125829120,53448,18.709
126877696,45611,21.923
127926272,22542,44.36
128974848,7105,140.734
130023424,11419,87.57
131072000,10200,98.03
132120576,31742,31.502
133169152,24718,40.456
134217728,37290,26.816
135266304,28759,34.77
136314880,31659,31.585
137363456,34433,29.041
138412032,21395,46.737
139460608,21248,47.061
140509184,34679,28.834
141557760,31523,31.721
142606336,38728,25.82
143654912,26364,37.929
144703488,31654,31.59
145752064,17464,57.258
146800640,20622,48.491
147849216,25539,39.154
148897792,24639,40.584
149946368,38545,25.942
150994944,52853,18.919
152043520,20863,47.93
153092096,36035,27.75
154140672,43612,22.929
155189248,43596,22.937
156237824,52367,19.094
157286400,35103,28.486
158334976,39039,25.614
159383552,26124,38.278
160432128,36355,27.506
161480704,40299,24.813
162529280,38707,25.835
163577856,27783,35.992
164626432,38035,26.291
165675008,43569,22.951
166723584,45661,21.9
167772160,34168,29.266
168820736,39439,25.354
169869312,35607,28.084
170917888,44954,22.244
171966464,50731,19.711
173015040,18901,52.906
174063616,39921,25.048
175112192,15986,62.551
176160768,36647,27.286
177209344,44791,22.325
178257920,42092,23.756
179306496,36239,27.594
180355072,45912,21.78
181403648,27721,36.073
182452224,52042,19.214
183500800,18500,54.051
184549376,22477,44.488
185597952,43292,23.098
186646528,13469,74.244
187695104,30715,32.556
188743680,57576,17.367
189792256,33908,29.49
190840832,38305,26.106
191889408,40637,24.607
192937984,31343,31.903
193986560,38228,26.158
195035136,26627,37.554
196083712,57640,17.348
197132288,30476,32.812
198180864,18530,53.965
199229440,61859,16.165
200278016,34177,29.258
201326592,44015,22.719
202375168,25320,39.493
203423744,27001,37.034
204472320,41059,24.354
205520896,42274,23.654
206569472,21861,45.742
207618048,32810,30.478
208666624,16537,60.47
209715200,43500,22.988
210763776,34599,28.901
211812352,23891,41.854
212860928,23190,43.121
213909504,41638,24.016
214958080,35078,28.507
216006656,18532,53.957
217055232,54757,18.261
218103808,33546,29.809
219152384,34085,29.337
220200960,22370,44.701
221249536,45006,22.218
222298112,40919,24.438
223346688,49540,20.185
224395264,10004,99.952
225443840,26603,37.589
226492416,50163,19.934
227540992,59109,16.917
228589568,46998,21.277
229638144,38042,26.286
230686720,22472,44.496
231735296,29531,33.862
232783872,40038,24.975
233832448,46892,21.325
234881024,17886,55.908
235929600,24849,40.243
236978176,50139,19.944
238026752,58409,17.12
239075328,19316,51.769
240123904,21185,47.202
241172480,37246,26.847
242221056,46043,21.718
243269632,25990,38.476
244318208,17352,57.628
245366784,46050,21.714
246415360,27838,35.92
247463936,22582,44.282
248512512,17115,58.427
249561088,34880,28.668
250609664,50675,19.733
251658240,23624,42.328
252706816,27718,36.077
253755392,18164,55.052
254803968,35347,28.289
255852544,29625,33.754
256901120,41897,23.867
257949696,29243,34.195
258998272,35187,28.418
260046848,19952,50.118
261095424,44259,22.594
262144000,19958,50.104
263192576,34594,28.906
264241152,39691,25.193
265289728,24015,41.639
266338304,45123,22.161
267386880,29432,33.975
268435456,23255,43.0
269484032,40454,24.718
270532608,28628,34.93
271581184,21194,47.181
272629760,33917,29.483
273678336,48893,20.452
274726912,44947,22.247
275775488,36430,27.449
276824064,43068,23.218
277872640,54450,18.364
278921216,53974,18.526
279969792,20630,48.471
281018368,25095,39.846
282066944,44392,22.525
283115520,26282,38.047
284164096,33391,29.947
285212672,27606,36.223
286261248,38230,26.156
287309824,25976,38.496
288358400,44394,22.524
289406976,48631,20.562
290455552,64274,15.557
291504128,43454,23.012
292552704,45804,21.831
293601280,36602,27.32
294649856,43837,22.811
295698432,58089,17.214
296747008,22833,43.795
297795584,47031,21.262
298844160,27781,35.994
299892736,29550,33.839
300941312,27696,36.106
301989888,27549,36.298
303038464,29956,33.382
304087040,51195,19.533
305135616,25235,39.626
306184192,43626,22.921
307232768,17284,57.854
308281344,43788,22.836
309329920,43323,23.081
310378496,34010,29.402
311427072,27310,36.616
312475648,56278,17.768
313524224,48496,20.62
314572800,17161,58.269
315621376,40815,24.5
316669952,58453,17.107
317718528,20420,48.969
318767104,29103,34.36
319815680,41576,24.051
320864256,23226,43.054
321912832,15307,65.329
322961408,72638,13.766
324009984,46519,21.496
325058560,40992,24.394
326107136,30439,32.852
327155712,35614,28.077
328204288,36940,27.07
329252864,35427,28.226
330301440,56769,17.614
331350016,23135,43.224
332398592,28155,35.517
333447168,49955,20.017
334495744,49925,20.029
335544320,18247,54.803
336592896,47741,20.945
337641472,57651,17.345
338690048,37486,26.676
339738624,25770,38.803
340787200,36736,27.221
341835776,33670,29.699
342884352,48345,20.684
343932928,21106,47.379
344981504,45917,21.778
346030080,47865,20.891
347078656,32724,30.558
348127232,43748,22.857
349175808,25769,38.804
350224384,29013,34.466
351272960,50793,19.687
352321536,35688,28.019
353370112,45671,21.895
354418688,33998,29.412
355467264,32635,30.64
356515840,22611,44.225
357564416,50089,19.964
358612992,34771,28.758
359661568,41386,24.162
360710144,49714,20.114
361758720,29412,33.998
362807296,63491,15.75
363855872,42012,23.802
364904448,58404,17.121
365953024,25877,38.643
367001600,26303,38.017
368050176,24762,40.383
369098752,27021,37.008
370147328,49372,20.253
371195904,37913,26.376
372244480,50492,19.804
373293056,30442,32.847
374341632,26228,38.126
375390208,39475,25.33
376438784,23331,42.861
377487360,54106,18.481
378535936,63529,15.74
379584512,36715,27.236
380633088,34167,29.267
381681664,20246,49.391
382730240,42045,23.783
383778816,21017,47.578
384827392,29120,34.34
385875968,33936,29.467
386924544,40391,24.757
387973120,34135,29.295
389021696,40951,24.419
390070272,36355,27.505
391118848,30265,33.04
392167424,48190,20.75
393216000,45557,21.95
394264576,39490,25.321
395313152,36009,27.769
396361728,42008,23.804
397410304,35622,28.072
398458880,34915,28.639
399507456,50755,19.702
400556032,47304,21.139
401604608,35657,28.043
402653184,42212,23.687
403701760,27346,36.567
404750336,30125,33.194
405798912,34376,29.089
406847488,53149,18.814
407896064,21167,47.242
408944640,56677,17.643
409993216,22546,44.353
411041792,49329,20.271
412090368,58914,16.973
413138944,56301,17.761
414187520,23920,41.804
415236096,39776,25.14
416284672,43297,23.096
417333248,21263,47.029
418381824,39186,25.518
419430400,57420,17.415
420478976,37844,26.423
421527552,30551,32.731
422576128,52887,18.908
423624704,24289,41.17
424673280,28998,34.484
425721856,32749,30.534
426770432,37329,26.788
427819008,35223,28.39
428867584,36316,27.535
429916160,33922,29.478
430964736,52160,19.171
432013312,38911,25.699
433061888,60682,16.479
434110464,52798,18.939
435159040,36428,27.45
436207616,37977,26.33
437256192,32298,30.961
438304768,34896,28.656
439353344,42261,23.661
440401920,58812,17.002
441450496,24962,40.06
442499072,43868,22.794
443547648,36209,27.617
444596224,46281,21.606
445644800,46216,21.636
446693376,28276,35.364
447741952,50681,19.73
448790528,38445,26.009
449839104,40285,24.822
450887680,47928,20.863
451936256,30388,32.906
452984832,47505,21.049
454033408,45983,21.746
455081984,25623,39.025
456130560,43330,23.078
457179136,52802,18.938
458227712,52315,19.114
459276288,31206,32.044
460324864,43981,22.736
461373440,39736,25.165
462422016,26220,38.138
463470592,43934,22.761
464519168,57874,17.278
465567744,58064,17.221
466616320,50038,19.983
467664896,32258,30.999
468713472,43309,23.089
469762048,38598,25.907
470810624,36883,27.112
471859200,31640,31.604
472907776,41289,24.218
473956352,28543,35.034
475004928,23365,42.799
476053504,46963,21.292
477102080,37185,26.891
478150656,52133,19.181
479199232,22160,45.124
480247808,35435,28.22
481296384,50865,19.659
482344960,41006,24.386
483393536,36088,27.709
484442112,41098,24.331
485490688,40499,24.691
486539264,47186,21.192
487587840,48437,20.644
488636416,23098,43.292
489684992,28276,35.365
490733568,45882,21.794
491782144,26119,38.285
492830720,26259,38.081
493879296,45798,21.834
494927872,32139,31.114
495976448,8937,111.885
497025024,24358,41.053
498073600,66735,14.984
499122176,41259,24.236
500170752,40185,24.884
501219328,34496,28.988
502267904,39378,25.394
503316480,56564,17.679
504365056,25433,39.318
505413632,23223,43.059
506462208,44380,22.532
507510784,44239,22.604
508559360,28780,34.745
509607936,42628,23.458
510656512,22989,43.497
511705088,36942,27.069
512753664,57373,17.429
513802240,55785,17.925
514850816,40528,24.673
515899392,56644,17.653
516947968,52193,19.158
517996544,20308,49.24
519045120,41935,23.846
520093696,57319,17.445
521142272,28806,34.713
522190848,30032,33.297
523239424,30080,33.243
524288000,45460,21.997
525336576,37406,26.732
526385152,49889,20.044
527433728,26928,37.135
528482304,44270,22.587
529530880,30889,32.373
530579456,51327,19.482
531628032,29947,33.391
532676608,55146,18.132
533725184,49605,20.158
534773760,50293,19.883
535822336,36454,27.431
536870912,59998,16.667
537919488,54587,18.318
538968064,40839,24.485
540016640,35322,28.31
541065216,47064,21.247
542113792,43061,23.222
543162368,22994,43.488
544210944,39794,25.129
545259520,25168,39.732
546308096,22794,43.869
547356672,36644,27.288
548405248,41776,23.936
549453824,31936,31.311
550502400,43155,23.172
551550976,42144,23.727
552599552,35988,27.786
553648128,41604,24.035
554696704,21107,47.375
555745280,44658,22.391
556793856,49705,20.118
557842432,34567,28.927
558891008,35865,27.882
559939584,45703,21.88
560988160,37540,26.637
562036736,46317,21.589
563085312,35351,28.287
564133888,40188,24.882
565182464,61597,16.234
566231040,44370,22.537
567279616,26802,37.309
568328192,45273,22.087
569376768,31179,32.072
570425344,44493,22.475
571473920,44078,22.686
572522496,42803,23.361
573571072,21144,47.293
574619648,39981,25.01
575668224,40012,24.991
576716800,38212,26.169
577765376,40866,24.47
578813952,34707,28.812
579862528,57409,17.418
580911104,25841,38.695
581959680,31634,31.611
583008256,51979,19.238
584056832,38075,26.263
585105408,33740,29.637
586153984,45483,21.985
587202560,44399,22.522
588251136,42016,23.799
589299712,53675,18.63
590348288,31616,31.629
591396864,40008,24.994
592445440,44232,22.607
593494016,28177,35.488
594542592,47972,20.844
595591168,46227,21.631
596639744,42361,23.606
597688320,40523,24.677
598736896,27309,36.615
599785472,57391,17.423
600834048,59421,16.828
601882624,39852,25.091
602931200,38245,26.146
603979776,46814,21.36
605028352,40318,24.801
606076928,36857,27.131
607125504,47659,20.982
608174080,52782,18.945
609222656,29054,34.417
610271232,48819,20.483
611319808,45498,21.978
612368384,56618,17.661
613416960,21532,46.441
614465536,43277,23.106
615514112,40707,24.564
616562688,33611,29.752
617611264,21405,46.718
618659840,46012,21.733
619708416,49495,20.202
620756992,44808,22.317
621805568,56146,17.81
622854144,25367,39.421
623902720,26111,38.295
624951296,40661,24.593
625999872,33601,29.76
627048448,32290,30.968
628097024,33263,30.062
629145600,36792,27.179
630194176,45791,21.838
631242752,36641,27.291
632291328,21549,46.404
633339904,52703,18.973
634388480,40092,24.942
635437056,38772,25.79
636485632,15465,64.658
637534208,47829,20.907
638582784,41659,24.003
639631360,60354,16.568
640679936,29098,34.366
641728512,38801,25.772
642777088,27469,36.404
643825664,28928,34.567
644874240,34359,29.103
645922816,37872,26.403
646971392,27422,36.465
648019968,20047,49.88
649068544,57367,17.431
650117120,32812,30.476
651165696,27899,35.842
652214272,19827,50.434
653262848,35620,28.073
654311424,26349,37.95
655360000,38121,26.231
656408576,24401,40.98
657457152,23969,41.72
658505728,42947,23.283
659554304,41828,23.906
660602880,35651,28.049
661651456,26229,38.125
662700032,38196,26.179
663748608,37316,26.797
664797184,25002,39.995
665845760,23791,42.031
666894336,58555,17.077
667942912,32547,30.723
668991488,50169,19.931
670040064,41161,24.294
671088640,47171,21.199
672137216,53127,18.822
673185792,56336,17.75
674234368,62335,16.041
675282944,41090,24.336
676331520,48557,20.593
677380096,41275,24.227
678428672,22350,44.741
679477248,32398,30.865
680525824,43076,23.214
681574400,42898,23.311
682622976,20047,49.882
683671552,42265,23.659
684720128,59039,16.937
685768704,31444,31.802
686817280,33394,29.945
687865856,54557,18.328
688914432,24288,41.172
689963008,35930,27.831
691011584,41042,24.365
692060160,43508,22.983
693108736,20164,49.591
694157312,47430,21.083
695205888,35403,28.246
696254464,36290,27.554
697303040,30848,32.416
698351616,33163,30.153
699400192,41801,23.922
700448768,31085,32.169
701497344,54339,18.402
702545920,58375,17.13
703594496,46358,21.57
704643072,41007,24.385
705691648,16531,60.49
706740224,54459,18.361
707788800,37053,26.987
708837376,39030,25.62
709885952,46399,21.551
710934528,47489,21.056
711983104,35321,28.311
713031680,52559,19.025
714080256,41223,24.258
715128832,30026,33.303
716177408,36824,27.155
717225984,41716,23.971
718274560,21644,46.201
719323136,43729,22.867
720371712,51042,19.591
721420288,35715,27.998
722468864,21864,45.734
723517440,44575,22.433
724566016,44468,22.487
725614592,20590,48.567
726663168,44141,22.654
727711744,41051,24.359
728760320,41848,23.895
729808896,36868,27.123
730857472,40387,24.76
731906048,45253,22.097
732954624,33200,30.119
734003200,39281,25.456
735051776,38579,25.92
736100352,62715,15.944
737148928,28031,35.673
738197504,70952,14.093
739246080,31655,31.589
740294656,45241,22.103
741343232,55576,17.993
742391808,63414,15.768
743440384,44323,22.56
744488960,32998,30.304
745537536,39257,25.472
746586112,61588,16.236
747634688,49653,20.139
748683264,17701,56.491
749731840,43750,22.856
750780416,41846,23.896
751828992,40103,24.935
752877568,27298,36.631
753926144,41035,24.368
754974720,51605,19.377
756023296,38628,25.887
757071872,23625,42.327
758120448,56497,17.699
759169024,31364,31.883
760217600,44929,22.256
761266176,41445,24.128
762314752,21038,47.532
763363328,43667,22.9
764411904,40327,24.797
765460480,36439,27.442
766509056,22150,45.146
767557632,29283,34.148
768606208,39981,25.011
769654784,39977,25.013
770703360,32299,30.959
771751936,38057,26.275
772800512,38678,25.853
773849088,32064,31.187
774897664,56694,17.638
775946240,48938,20.433
776994816,53406,18.723
778043392,29342,34.079
779091968,40172,24.892
780140544,24736,40.426
781189120,38430,26.02
782237696,30847,32.417
783286272,22801,43.855
784334848,40101,24.936
785383424,54823,18.24
786432000,28381,35.233
787480576,20207,49.486
788529152,46189,21.649
789577728,44334,22.555
790626304,37686,26.534
791674880,37362,26.764
792723456,29921,33.421
793772032,28103,35.582
794820608,31321,31.926
795869184,38854,25.736
796917760,38347,26.077
797966336,43038,23.234
799014912,19119,52.301
800063488,47162,21.202
801112064,31601,31.644
802160640,52931,18.891
803209216,48689,20.537
804257792,35902,27.852
805306368,56214,17.788
806354944,50127,19.948
807403520,30996,32.261
808452096,47002,21.275
809500672,41303,24.21
810549248,25939,38.551
811597824,47169,21.199
812646400,19664,50.851
813694976,38363,26.066
814743552,20912,47.817
815792128,24632,40.596
816840704,46711,21.407
817889280,42916,23.3
818937856,22350,44.742
819986432,45347,22.051
821035008,38554,25.937
822083584,27951,35.776
823132160,39167,25.531
824180736,52432,19.071
825229312,38192,26.182
826277888,47107,21.227
827326464,43758,22.852
828375040,45066,22.189
829423616,36174,27.643
830472192,48291,20.707
831520768,43391,23.046
832569344,38521,25.959
833617920,37977,26.331
834666496,38201,26.177
835715072,30792,32.474
836763648,40556,24.656
837812224,40862,24.472
838860800,44202,22.623
839909376,47416,21.089
840957952,28752,34.779
842006528,57448,17.406
843055104,50053,19.978
844103680,56532,17.688
845152256,44187,22.63
846200832,36433,27.446
847249408,62468,16.008
848297984,42804,23.362
849346560,29755,33.607
850395136,37856,26.415
851443712,46269,21.612
852492288,43763,22.849
853540864,28459,35.138
854589440,21824,45.82
855638016,44640,22.401
856686592,33713,29.661
857735168,21617,46.259
858783744,24716,40.459
859832320,54928,18.205
860880896,36433,27.447
861929472,33576,29.782
862978048,38543,25.944
864026624,40378,24.765
865075200,23300,42.917
866123776,22529,44.386
867172352,49853,20.058
868220928,25459,39.277
869269504,31574,31.671
870318080,37456,26.697
871366656,30137,33.18
872415232,47873,20.888
873463808,32116,31.137
874512384,26391,37.89
875560960,37361,26.765
876609536,42611,23.467
877658112,59479,16.812
878706688,54249,18.432
879755264,38964,25.664
880803840,24969,40.048
881852416,59290,16.866
882900992,21461,46.595
883949568,27863,35.889
884998144,63247,15.81
886046720,54814,18.243
887095296,55536,18.006
888143872,16184,61.786
889192448,24757,40.391
890241024,49821,20.071
891289600,28782,34.743
892338176,35104,28.485
893386752,34332,29.126
894435328,31948,31.298
895483904,54452,18.364
896532480,42699,23.419
897581056,45812,21.827
898629632,49066,20.38
899678208,37797,26.457
900726784,31078,32.176
901775360,59036,16.938
902823936,22163,45.119
903872512,46383,21.559
904921088,24358,41.052
905969664,41980,23.82
907018240,26856,37.234
908066816,61223,16.333
909115392,42798,23.364
910163968,50668,19.735
911212544,53260,18.775
912261120,60135,16.629
913309696,37036,27.0
914358272,50240,19.904
915406848,43406,23.037
916455424,51928,19.256
917504000,31337,31.911
918552576,48329,20.69
919601152,55909,17.885
920649728,32774,30.511
921698304,16633,60.12
922746880,40637,24.607
923795456,31313,31.934
924844032,40643,24.603
925892608,51836,19.291
926941184,33192,30.127
927989760,41388,24.16
929038336,37581,26.608
930086912,53653,18.637
931135488,41236,24.25
932184064,33573,29.784
933232640,36029,27.754
934281216,39316,25.434
935329792,20690,48.331
936378368,38260,26.136
937426944,42827,23.349
938475520,32298,30.96
939524096,21603,46.288
940572672,64808,15.429
941621248,28820,34.697
942669824,41547,24.068
943718400,48237,20.73
944766976,51513,19.412
945815552,57235,17.471
946864128,50433,19.827
947912704,32428,30.836
948961280,56640,17.655
950009856,26025,38.423
951058432,42739,23.397
952107008,43635,22.916
953155584,36593,27.326
954204160,29415,33.995
955252736,28924,34.573
956301312,32036,31.213
957349888,38489,25.98
958398464,32807,30.48
959447040,31981,31.268
960495616,42358,23.607
961544192,28213,35.443
962592768,43576,22.947
963641344,37659,26.553
964689920,25514,39.192
965738496,33207,30.113
966787072,25137,39.781
967835648,39344,25.416
968884224,30975,32.283
969932800,34680,28.833
970981376,41780,23.934
972029952,28139,35.537
973078528,24992,40.011
974127104,74441,13.433
975175680,41938,23.844
976224256,38134,26.222
977272832,40242,24.849
978321408,57993,17.242
979369984,53126,18.822
980418560,33441,29.902
981467136,44374,22.535
982515712,60597,16.501
983564288,46865,21.337
984612864,22708,44.036
985661440,22316,44.81
986710016,58333,17.142
987758592,33597,29.764
988807168,45147,22.149
989855744,39089,25.582
990904320,42608,23.469
991952896,27211,36.748
993001472,30710,32.562
994050048,36069,27.724
995098624,21284,46.982
996147200,36501,27.395
997195776,33140,30.174
998244352,33420,29.921
999292928,32799,30.488
1000341504,43944,22.756
1001390080,48325,20.692
1002438656,34524,28.965
1003487232,48100,20.789
1004535808,48900,20.449
1005584384,39846,25.096
1006632960,36986,27.036
1007681536,44301,22.572
1008730112,36874,27.118
1009778688,44529,22.456
1010827264,41214,24.263
1011875840,48406,20.658
1012924416,41838,23.901
1013972992,41567,24.057
1015021568,41005,24.386
1016070144,28681,34.864
1017118720,53296,18.763
1018167296,55843,17.906
1019215872,20860,47.937
1020264448,26805,37.305
1021313024,27612,36.216
1022361600,17930,55.769
1023410176,32701,30.579
1024458752,39313,25.436
1025507328,22801,43.856
1026555904,29586,33.799
1027604480,30548,32.735
1028653056,37796,26.457
1029701632,25636,39.006
1030750208,37708,26.519
1031798784,23739,42.123
1032847360,26480,37.763
1033895936,43902,22.777
1034944512,47359,21.115
1035993088,29201,34.245
1037041664,40978,24.403
1038090240,42505,23.526
1039138816,52265,19.132
1040187392,27782,35.994
1041235968,43849,22.805
1042284544,27804,35.965
1043333120,43058,23.223
1044381696,58062,17.222
1045430272,46653,21.434
1046478848,27635,36.185
1047527424,63267,15.806
1048576000,42973,23.269
1049624576,27152,36.828
1050673152,40135,24.915
1051721728,18281,54.699
1052770304,27160,36.817
1053818880,42430,23.568
1054867456,51423,19.446
1055916032,22335,44.771
1056964608,28731,34.805
1058013184,20864,47.928
1059061760,43172,23.162
1060110336,17194,58.156
1061158912,47240,21.167
1062207488,20624,48.486
1063256064,28375,35.241
1064304640,17759,56.306
1065353216,30130,33.187
1066401792,34548,28.945
1067450368,19520,51.228
1068498944,34220,29.222
1069547520,38720,25.826
1070596096,21896,45.668
1071644672,34853,28.691
1072693248,26181,38.194
